こう	斯う	in this way; thus; such / uh...
アメリカ	亜米利加	America / United States of America
付く	つく	to be attached; to be connected with; to adhere; to stick; to cling / to remain imprinted; to scar; to stain; to dye / to bear (fruit, interest, etc.) / to be acquired (of a habit, ability, etc.); to increase (of strength, etc.) / to take root / to accompany; to attend; to follow; to study with / to side with; to belong to / to possess; to haunt / to be lit; to be lighted / to be settled; to be resolved; to be decided / to be given (of a name, price, etc.) / to be sensed; to be perceived / to be lucky / to become (a state, condition, etc.)
看護師	かんごし	(hospital) nurse; registered nurse; RN
アフリカ	阿弗利加	Africa
そんなに		so much; so; like that
ああ		like that (used for something or someone distant from both speaker and listener); so
ご覧になる	ごらんになる	to see; to look; to watch / to try to
あっ		ah; oh / hey!
あじあ	亜細亜	Asia
サンダル		sandal
スーツケース		suitcase
スクリーン		screen
ステーキ		steak
チェック		check; plaid; checkered / checking; monitoring; looking over; scrutinizing; inspecting / check (banking); cheque; bill (restaurant) / check (chess)
レジ		(cash) register / cashier
降り出す	ふりだす	to begin to rain; to begin to snow
おいでになる	お出でになる	to be / to come / to go
おかげ	お蔭	grace (of God); benevolence (of Buddha); blessing / assistance; help; aid / effects; influence
お見舞い	おみまい	calling on someone who is ill; enquiry; inquiry
お祭り	おまつり	festival; feast; carnival
都	と	metropolitan; municipal
泳ぎ方	およぎかた	way of swimming
もうすぐ	もう直ぐ	soon; shortly; before long; nearly; almost
お金持ち	おかねもち	rich person
安全	あんぜん	safety; security
意見	いけん	opinion; view; comment
会議	かいぎ	meeting; conference; session; assembly; council; convention; congress
関係	かんけい	relation; relationship; connection / participation; involvement; concern / influence; effect / sexual relations; sexual relationship / related to; connected to
気	き	spirit; mind; heart / nature; disposition / motivation; intention / mood; feelings / ambience; atmosphere; mood
技術	ぎじゅつ	technology; engineering / technique; skill / art; craft
客	きゃく	guest; visitor / customer; client; shopper; spectator; audience; tourist; sightseer; passenger
教育	きょういく	education; schooling; training; instruction; teaching; upbringing / culture; cultivation; education
空港	くうこう	airport
形	かたち	form; shape; figure / visage
経済	けいざい	economics; business; finance; economy
警察	けいさつ	police / police officer / police station
研究	けんきゅう	study; research; investigation
原因	げんいん	cause; origin; source
光	ひかり	light / illumination; ray; beam; gleam; glow / happiness; hope / influence; power / vision; eyesight
高校	こうこう	senior high school; high school
国際	こくさい	international / diplomatic intercourse
最近	さいきん	recently; lately; these days; nowadays; right now / nearest; closest
最後	さいご	end; conclusion / last; final; latest; most recent / no sooner than; once; right after (often having negative consequences) / one's final moments
最初	さいしょ	beginning; outset; first; onset
妻	つま	wife / my dear; dear; honey / garnish (esp. one served with sashimi) / embellishment
産業	さんぎょう	industry / livelihood; occupation
子	こ	child / young (animal) / young woman; young geisha / offshoot / interest / new shares / player who is not a dealer (in cards, mahjong, etc.) / bird egg / -er (often of young women)
市民	しみん	citizen; citizenry; public / city inhabitant; townspeople / bourgeoisie; middle class
試合	しあい	match; game; bout; contest
事故	じこ	accident; incident; trouble / circumstances; reasons
事務所	じむしょ	office
